,jersey,short,meshshort,tshirt
2,,,,
4,,,,
6,,,,
8,,,,
10,,,,
xs,6375x4800,9450x3300,9056x2500,5775x4200
s,6675x4950,9750x3450,9559x2850,6075x4350
small,6675x4950,9750x3450,9559x2850,6075x4350
m,6975x5100,10050x3600,10062x3000,6375x4500
medium,6975x5100,10050x3600,10062x3000,6375x4500
l,7275x5250,10350x3750,10565x3150,6675x4650
large,7275x5250,10350x3750,10565x3150,6675x4650
xl,7575x5400,10650x3900,11068x3300,6975x4800
2xl,7875x5550,10950x4050,11571x3450,7275x4950
3xl,8175x5700,11250x4200,12074x3600,7575x5100
4xl,8475x5850,11550x4350,12577x3750,7875x5250
5xl,8775x6000,11850x4500,13080x3900,8175x5400
